aspiration,boreratio,car_ID,carbody,carheight,carlength,carwidth,citympg,Combinada,compressionratio,curbweight,cylindernumber,doornumber,drivewheel,enginelocation,enginesize,enginetype,fuelsystem,fueltype,highwaympg,horsepower,peakrpm,price,stroke,symboling,wheelbase
turbo,4,30,hatchback,50,173,66,19,dodge coronet custom (sw),70,2811,4,2,fwd,front,156,ohc,mfi,gas,24,145,5000,12964,39,3,96
turbo,4,118,sedan,56,187,68,18,peugeot 604sl,70,3130,4,4,rwd,front,134,l,mpfi,gas,24,142,5600,18150,321,0,108
turbo,4,146,sedan,54,172,65,24,subaru r2,77,2510,4,4,4wd,front,108,ohcf,mpfi,gas,29,111,4800,11259,264,0,97
turbo,4,150,wagon,55,174,65,23,subaru dl,77,2650,4,4,4wd,front,108,ohcf,mpfi,gas,23,111,4800,11694,264,0,97
turbo,4,199,sedan,56,189,67,17,volvo 264gl,75,3045,4,4,rwd,front,130,ohc,mpfi,gas,22,162,5100,18420,315,-2,104
turbo,4,200,wagon,58,189,67,17,volvo diesel,75,3157,4,4,rwd,front,130,ohc,mpfi,gas,22,162,5100,18950,315,-1,104
turbo,4,109,sedan,57,187,68,28,peugeot 304,210,3197,4,4,rwd,front,152,l,idi,diesel,33,95,4150,13200,352,0,108
turbo,4,111,wagon,59,199,68,25,peugeot 504,210,3430,4,4,rwd,front,152,l,idi,diesel,25,95,4150,13860,352,0,114
turbo,4,113,sedan,57,187,68,28,peugeot 604sl,210,3252,4,4,rwd,front,152,l,idi,diesel,33,95,4150,16900,352,0,108
turbo,4,115,wagon,59,199,68,25,peugeot 505s turbo diesel,210,3485,4,4,rwd,front,152,l,idi,diesel,25,95,4150,17075,352,0,114
turbo,4,117,sedan,57,187,68,28,peugeot 504,210,3252,4,4,rwd,front,152,l,idi,diesel,33,95,4150,17950,352,0,108
turbo,4,76,hatchback,55,178,68,19,mercury cougar,80,2910,4,2,rwd,front,140,ohc,mpfi,gas,24,175,5000,16503,312,1,103
turbo,4,202,sedan,56,189,69,19,volvo 144ea,87,3049,4,4,rwd,front,141,ohc,mpfi,gas,25,160,5300,19045,315,-1,109
turbo,4,205,sedan,56,189,69,19,volvo 264gl,95,3062,4,4,rwd,front,141,ohc,mpfi,gas,25,114,5400,22625,315,-1,109
